n	real_n	max_n	Time (s)	m	r
135.0	135.0	165.0	0.1852571964263916	11.0	3.0
136.0	136.0	165.0	0.1859292984008789	11.0	3.0
138.0	138.0	165.0	0.19100713729858398	11.0	3.0
140.0	140.0	165.0	0.1962261199951172	11.0	3.0
141.0	141.0	165.0	0.1999497413635254	11.0	3.0
143.0	143.0	165.0	0.20968031883239746	11.0	3.0
145.0	145.0	165.0	0.21826505661010742	11.0	3.0
146.0	146.0	165.0	0.20987534523010254	11.0	3.0
148.0	148.0	165.0	0.2224104404449463	11.0	3.0
150.0	150.0	165.0	0.22661113739013672	11.0	3.0
151.0	151.0	165.0	0.2610640525817871	11.0	3.0
153.0	153.0	165.0	0.2409381866455078	11.0	3.0
155.0	155.0	165.0	0.38423991203308105	11.0	3.0
156.0	156.0	165.0	0.33446788787841797	11.0	3.0
158.0	158.0	165.0	31.082088708877563	11.0	3.0
160.0	160.0	165.0	60.80734324455261	11.0	3.0
161.0	0.0	165.0	400.00045800209045	11.0	3.0
163.0	163.0	165.0	0.5696167945861816	11.0	3.0
198.0	198.0	330.0	0.3229835033416748	11.0	4.0
201.0	201.0	330.0	0.36953043937683105	11.0	4.0
204.0	204.0	330.0	0.36774754524230957	11.0	4.0
207.0	207.0	330.0	0.3725109100341797	11.0	4.0
211.0	211.0	330.0	0.38312435150146484	11.0	4.0
214.0	214.0	330.0	0.3815310001373291	11.0	4.0
217.0	217.0	330.0	0.3844006061553955	11.0	4.0
221.0	221.0	330.0	0.3915822505950928	11.0	4.0
224.0	224.0	330.0	0.40641021728515625	11.0	4.0
227.0	227.0	330.0	0.4622616767883301	11.0	4.0
231.0	231.0	330.0	0.42609643936157227	11.0	4.0
234.0	234.0	330.0	0.43022704124450684	11.0	4.0
237.0	237.0	330.0	0.4420206546783447	11.0	4.0
240.0	240.0	330.0	0.45369839668273926	11.0	4.0
244.0	244.0	330.0	0.4761061668395996	11.0	4.0
247.0	247.0	330.0	0.4838693141937256	11.0	4.0
250.0	250.0	330.0	0.495680570602417	11.0	4.0
254.0	254.0	330.0	0.5093080997467041	11.0	4.0
257.0	257.0	330.0	0.5163850784301758	11.0	4.0
260.0	260.0	330.0	0.5249326229095459	11.0	4.0
264.0	264.0	330.0	0.5442745685577393	11.0	4.0
